Time Series ID	Fly ID	Fly Genotype 	Age	Sex	Stimulus 	Frames (imaging)	Rotation	Z-depth	Layer 	Imaging Frame Rate (Hz)	Wavelength	Transmission (%)	Gain	Offset 	Color Filter 	ND	Dither Hold	isMoving?	isResponding?	comments
161204_fly1_LDM	1	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	24	12089.84	2	80	920	15	95	72	482/18	1.3	0	0	1	"2 movement spikes, most cells responding"
161204_fly1_LDM_001	1	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	24	12089.84	2	80	920	15	95	72	482/18	1.3	0	0		
161204_fly1_LDM_002	1	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	20	12100.76	2	80	920	15	95	72	482/18	1.3	0	0	1	cells 6 and 7 responding
161204_fly1_LDM_003	1	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	12100.76	2	80	920	15	95	72	482/18	1.3	0	0		
161204_fly1_LDM_004	1	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	20	12112.85	2	80	920	13	95	72	482/18	1.3	0	0		
161204_fly1_LDM_005	1	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	12112.85	2	80	920	13	95	72	482/18	1.3	0	0		
161204_fly1_LDM_006	1	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	20	12120.51	2	80	920	13	95	72	482/18	1.3	0	0		
161204_fly1_LDM_007	1	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	12120.51	2	80	920	13	95	72	482/18	1.3	0	0		
161204_fly2_LDM_008	2	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	27	12024.55	2	80	920	8	95	73	482/18	1.3	0	0	1	"some drift, all cells responding"
161204_fly2_LDM_009	2	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	27	12024.55	2	80	920	8	95	73	482/18	1.3	0	0		mild movement
161204_fly2_LDM_010	2	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	25	12029.3	2	80	920	8	95	73	482/18	1.3	0	0	1	"all cells responding, looks good"
161204_fly2_LDM_011	2	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	25	12029.3	2	80	920	8	95	73	482/18	1.3	0	0		mild movement
161204_fly2_LDM_012	2	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	25	12034.39	2	80	920	10	95	73	482/18	1.3	0	0	1	all cells but 7 responding
161204_fly2_LDM_013	2	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	25	12034.39	2	80	920	10	95	73	482/18	1.3	0	0		mild movement
161204_fly2_LDM_014	2	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	18	12044.1	2	80	920	12	95	73	482/18	1.3	0	1		"some movement, cell 7 responding"
161204_fly2_LDM_015	2	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	18	12044.1	2	80	920	12	95	73	482/18	1.3	0	1		
161204_fly3_LDM_016	3	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	32	12044.48	2	80	920	12	95	74	482/18	1.3	0	0	1	cells 1-7 responding
161204_fly3_LDM_017	3	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	32	12044.48	2	80	920	12	95	74	482/18	1.3	0	0		
161204_fly3_LDM_018	3	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	28	12055.07	2	80	920	6	95	74	482/18	1.3	0	0	1	"all cells responding, looks good"
161204_fly3_LDM_019	3	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	28	12055.07	2	80	920	6	95	74	482/18	1.3	0	0		
161204_fly3_LDM_020	3	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	26	12061.39	2	80	920	10	95	74	482/18	1.3	0	0		cell 3 responding?
161204_fly3_LDM_021	3	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	26	12061.39	2	80	920	10	95	74	482/18	1.3	0	0		
161204_fly4_LDM_022	4	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	6	F	300ms_searchStimFlash	5000	28	12030.96	2	80	920	8	95	75	482/18	1.3	0	1	1	"moderate movement, all cells responding"
